strategy,tf,min_atr,n_trades,win_rate_pct,avg_ret_pct,sum_ret_pct,symbols_active,symbols_total
f_zone,daily,0.0,77,32.5,-0.3527,-27.2,39,51
f_zone,daily,0.01,77,32.5,-0.3527,-27.2,39,51
f_zone,daily,0.035,60,38.3,-0.0833,-5.0,37,51
f_zone,5m,0.0,348,39.1,-0.0659,-22.9,43,51
f_zone,5m,0.01,327,38.5,-0.1011,-33.0,43,51
f_zone,5m,0.035,11,18.2,-0.7273,-8.0,8,51
f_zone,1m,0.0,433,34.4,-0.2599,-112.5,47,51
f_zone,1m,0.01,230,35.2,-0.2492,-57.3,42,51
f_zone,1m,0.035,1,100.0,3.0,3.0,1,51
sf_zone,daily,0.0,20,25.0,-0.375,-7.5,17,51
sf_zone,daily,0.01,20,25.0,-0.375,-7.5,17,51
sf_zone,daily,0.035,20,25.0,-0.375,-7.5,17,51
sf_zone,5m,0.0,50,24.0,-0.3989,-19.9,26,51
sf_zone,5m,0.01,49,24.5,-0.3764,-18.4,26,51
sf_zone,5m,0.035,3,33.3,0.0,0.0,2,51
sf_zone,1m,0.0,56,32.1,-0.0304,-1.7,29,51
sf_zone,1m,0.01,44,34.1,0.0295,1.3,26,51
sf_zone,1m,0.035,1,100.0,3.0,3.0,1,51
gold_zone,daily,0.0,929,35.5,-0.2613,-242.7,51,51
gold_zone,daily,0.01,927,35.5,-0.264,-244.7,51,51
gold_zone,daily,0.035,652,34.2,-0.3107,-202.6,50,51
gold_zone,5m,0.0,6450,42.1,-0.0226,-145.7,51,51
gold_zone,5m,0.01,2581,41.5,-0.0661,-170.5,51,51
gold_zone,5m,0.035,68,42.6,0.0147,1.0,19,51
gold_zone,1m,0.0,5249,39.8,-0.0769,-403.7,51,51
gold_zone,1m,0.01,688,37.8,-0.1867,-128.4,43,51
gold_zone,1m,0.035,2,50.0,0.25,0.5,2,51
