symbol,name,entry_date,entry_price,qty,primary_outcome,hold_days,gross_pnl,n_exits,first_exit_date,first_exit_reason,first_exit_price
319400,현대무벡스,2024-03-06,3170,100,sl_only,5,-4755,1,2024-03-11,stop_loss,3122
319400,현대무벡스,2025-01-09,3905,100,tp_then_sl,1,-59,2,2025-01-10,tp1,4022
319400,현대무벡스,2025-12-23,16200,100,tp_only,1,+81324,3,2025-12-24,tp1,16686
319400,현대무벡스,2026-01-16,28600,100,tp_only,3,+143572,3,2026-01-19,tp1,29458
066570,LG전자,2026-01-22,111600,100,sl_only,1,-167400,1,2026-01-23,stop_loss,109926
066570,LG전자,2026-02-27,144700,100,sl_only,4,-217050,1,2026-03-03,stop_loss,142530
090710,휴림로봇,2024-05-13,3135,100,tp_only,1,+3104,1,2024-05-14,tp1,3229
090710,휴림로봇,2024-10-16,1385,100,tp_then_sl,1,-21,2,2024-10-17,tp1,1427
090710,휴림로봇,2024-11-20,1619,100,sl_only,1,-2429,1,2024-11-21,stop_loss,1595
090710,휴림로봇,2025-02-06,1775,100,tp_only,1,+8910,3,2025-02-07,tp1,1828
090710,휴림로봇,2025-02-19,2845,100,tp_then_sl,1,-43,2,2025-02-20,tp1,2930
090710,휴림로봇,2025-07-16,3155,100,tp_then_sl,1,-47,2,2025-07-17,tp1,3250
090710,휴림로봇,2025-09-15,3185,100,tp_only,1,+15989,3,2025-09-16,tp1,3281
090710,휴림로봇,2025-10-20,4745,100,tp_only,1,+23820,3,2025-10-21,tp1,4887
090710,휴림로봇,2025-11-03,6610,100,tp_only,1,+33182,3,2025-11-04,tp1,6808
090710,휴림로봇,2025-12-30,7990,100,tp_only,3,+40110,3,2026-01-02,tp1,8230
090710,휴림로봇,2026-01-16,11520,100,tp_only,3,+57830,3,2026-01-19,tp1,11866
010170,대한광통신,2025-06-20,774,100,sl_only,3,-1161,1,2025-06-23,stop_loss,762
010170,대한광통신,2025-06-25,837,100,tp_only,1,+4202,3,2025-06-26,tp1,862
010170,대한광통신,2025-07-01,923,100,tp_only,1,+4633,3,2025-07-02,tp1,951
010170,대한광통신,2025-08-05,1004,100,tp_only,1,+5040,3,2025-08-06,tp1,1034
010170,대한광통신,2025-09-11,1531,100,tp_only,1,+7686,3,2025-09-12,tp1,1577
010170,대한광통신,2025-12-03,2487,100,sl_only,1,-3730,1,2025-12-04,stop_loss,2450
010170,대한광통신,2025-12-12,2271,100,tp_then_sl,3,-34,2,2025-12-15,tp1,2339
010170,대한광통신,2026-01-05,2832,100,tp_only,1,+14217,3,2026-01-06,tp1,2917
010170,대한광통신,2026-02-12,3450,100,tp_only,1,+17319,3,2026-02-13,tp1,3554
010170,대한광통신,2026-02-23,4140,100,tp_only,1,+20783,3,2026-02-24,tp1,4264
010170,대한광통신,2026-03-24,7790,100,tp_only,1,+39106,3,2026-03-25,tp1,8024
003280,흥아해운,2025-01-22,1905,100,sl_only,1,-2858,1,2025-01-23,stop_loss,1876
012200,계양전기,2025-01-03,1611,100,tp_only,3,+1595,1,2025-01-06,tp1,1659
356680,엑스게이트,2025-02-07,9350,100,tp_only,3,+46937,3,2025-02-10,tp1,9630
012860,모베이스전자,2026-05-13,6220,100,open,0,+0,0,,,0
