symbol,name,entry_date,entry_price,qty,primary_outcome,hold_days,gross_pnl,n_exits,first_exit_date,first_exit_reason,first_exit_price
319400,현대무벡스,2024-03-06,3170,315,sl_only,5,-14978,1,2024-03-11,stop_loss,3122
319400,현대무벡스,2025-01-09,3905,256,tp_then_sl,1,-150,2,2025-01-10,tp1,4022
319400,현대무벡스,2025-12-23,16200,61,tp_only,1,+49608,3,2025-12-24,tp1,16686
319400,현대무벡스,2026-01-16,28600,34,tp_only,3,+48814,3,2026-01-19,tp1,29458
066570,LG전자,2026-01-22,111600,8,sl_only,1,-13392,1,2026-01-23,stop_loss,109926
066570,LG전자,2026-02-27,144700,6,sl_only,4,-13023,1,2026-03-03,stop_loss,142530
090710,휴림로봇,2024-05-13,3135,318,tp_only,1,+9870,1,2024-05-14,tp1,3229
090710,휴림로봇,2024-10-16,1385,722,tp_then_sl,1,-150,2,2024-10-17,tp1,1427
090710,휴림로봇,2024-11-20,1619,617,sl_only,1,-14984,1,2024-11-21,stop_loss,1595
090710,휴림로봇,2025-02-06,1775,563,tp_only,1,+50166,3,2025-02-07,tp1,1828
090710,휴림로봇,2025-02-19,2845,351,tp_then_sl,1,-150,2,2025-02-20,tp1,2930
090710,휴림로봇,2025-07-16,3155,316,tp_then_sl,1,-150,2,2025-07-17,tp1,3250
090710,휴림로봇,2025-09-15,3185,313,tp_only,1,+50045,3,2025-09-16,tp1,3281
090710,휴림로봇,2025-10-20,4745,210,tp_only,1,+50022,3,2025-10-21,tp1,4887
090710,휴림로봇,2025-11-03,6610,151,tp_only,1,+50105,3,2025-11-04,tp1,6808
090710,휴림로봇,2025-12-30,7990,125,tp_only,3,+50137,3,2026-01-02,tp1,8230
090710,휴림로봇,2026-01-16,11520,86,tp_only,3,+49734,3,2026-01-19,tp1,11866
010170,대한광통신,2025-06-20,774,1291,sl_only,3,-14989,1,2025-06-23,stop_loss,762
010170,대한광통신,2025-06-25,837,1194,tp_only,1,+50169,3,2025-06-26,tp1,862
010170,대한광통신,2025-07-01,923,1083,tp_only,1,+50180,3,2025-07-02,tp1,951
010170,대한광통신,2025-08-05,1004,996,tp_only,1,+50199,3,2025-08-06,tp1,1034
010170,대한광통신,2025-09-11,1531,653,tp_only,1,+50187,3,2025-09-12,tp1,1577
010170,대한광통신,2025-12-03,2487,402,sl_only,1,-14997,1,2025-12-04,stop_loss,2450
010170,대한광통신,2025-12-12,2271,440,tp_then_sl,3,-150,2,2025-12-15,tp1,2339
010170,대한광통신,2026-01-05,2832,353,tp_only,1,+50185,3,2026-01-06,tp1,2917
010170,대한광통신,2026-02-12,3450,289,tp_only,1,+50052,3,2026-02-13,tp1,3554
010170,대한광통신,2026-02-23,4140,241,tp_only,1,+50087,3,2026-02-24,tp1,4264
010170,대한광통신,2026-03-24,7790,128,tp_only,1,+50055,3,2026-03-25,tp1,8024
003280,흥아해운,2025-01-22,1905,524,sl_only,1,-14973,1,2025-01-23,stop_loss,1876
012200,계양전기,2025-01-03,1611,620,tp_only,3,+9888,1,2025-01-06,tp1,1659
356680,엑스게이트,2025-02-07,9350,106,tp_only,3,+49753,3,2025-02-10,tp1,9630
012860,모베이스전자,2026-05-13,6220,160,open,0,+0,0,,,0
