symbol,name,entry_date,entry_price,qty,primary_outcome,hold_days,gross_pnl,n_exits,first_exit_date,first_exit_reason,first_exit_price
319400,현대무벡스,2024-02-29,3120,320,sl_only,4,-14976,1,2024-03-04,stop_loss,3073
319400,현대무벡스,2024-03-06,3170,315,sl_only,5,-14978,1,2024-03-11,stop_loss,3122
319400,현대무벡스,2024-03-13,3135,318,tp_only,1,+9870,1,2024-03-14,tp1,3229
319400,현대무벡스,2024-03-28,3145,317,sl_only,5,-14954,1,2024-04-02,stop_loss,3098
319400,현대무벡스,2024-04-25,2915,343,tp_only,25,+9898,1,2024-05-20,tp1,3002
319400,현대무벡스,2024-05-24,2855,350,tp_only,4,+9893,1,2024-05-28,tp1,2941
319400,현대무벡스,2024-06-03,2850,350,tp_only,1,+50074,3,2024-06-04,tp1,2936
319400,현대무벡스,2024-07-04,2930,341,tp_only,1,+26377,2,2024-07-05,tp1,3018
319400,현대무벡스,2024-08-08,2715,368,tp_only,1,+50156,3,2024-08-09,tp1,2796
319400,현대무벡스,2024-08-13,2955,338,sl_only,3,-14982,1,2024-08-16,stop_loss,2911
319400,현대무벡스,2024-08-20,2935,340,tp_only,2,+9879,1,2024-08-22,tp1,3023
319400,현대무벡스,2024-09-06,2795,357,tp_only,4,+50090,3,2024-09-10,tp1,2879
319400,현대무벡스,2024-11-07,3070,325,sl_only,4,-14966,1,2024-11-11,stop_loss,3024
319400,현대무벡스,2024-11-18,2890,346,tp_only,2,+9899,1,2024-11-20,tp1,2977
319400,현대무벡스,2024-11-27,2980,335,sl_only,1,-14974,1,2024-11-28,stop_loss,2935
319400,현대무벡스,2024-12-09,2840,352,tp_only,1,+50184,3,2024-12-10,tp1,2925
319400,현대무벡스,2025-04-14,3580,279,tp_only,1,+50141,3,2025-04-15,tp1,3687
319400,현대무벡스,2025-04-17,3940,253,tp_only,7,+50040,3,2025-04-24,tp1,4058
319400,현대무벡스,2025-05-23,3950,253,tp_only,3,+50167,3,2025-05-26,tp1,4068
319400,현대무벡스,2025-07-22,4885,204,sl_only,1,-14948,1,2025-07-23,stop_loss,4812
319400,현대무벡스,2025-07-25,4705,212,tp_only,4,+50072,3,2025-07-29,tp1,4846
319400,현대무벡스,2025-08-26,5000,200,sl_only,2,-15000,1,2025-08-28,stop_loss,4925
319400,현대무벡스,2025-09-01,4820,207,tp_only,1,+50087,3,2025-09-02,tp1,4965
319400,현대무벡스,2026-04-06,26900,37,sl_only,1,-14930,1,2026-04-07,stop_loss,26496
319400,현대무벡스,2026-04-09,31150,32,sl_only,1,-14952,1,2026-04-10,stop_loss,30683
319400,현대무벡스,2026-04-14,30050,33,tp_only,1,+49781,3,2026-04-15,tp1,30952
066570,LG전자,2024-02-28,96100,10,sl_only,5,-14415,1,2024-03-04,stop_loss,94658
066570,LG전자,2024-03-06,93300,10,tp_only,5,+46837,3,2024-03-11,tp1,96099
066570,LG전자,2024-07-29,107600,9,sl_only,1,-14526,1,2024-07-30,stop_loss,105986
066570,LG전자,2024-08-16,97300,10,tp_only,14,+48845,3,2024-08-30,tp1,100219
066570,LG전자,2024-11-21,93300,10,tp_only,4,+9237,1,2024-11-25,tp1,96099
066570,LG전자,2024-11-27,95200,10,sl_only,1,-14280,1,2024-11-28,stop_loss,93772
066570,LG전자,2024-12-12,86400,11,tp_only,6,+25091,2,2024-12-18,tp1,88992
066570,LG전자,2024-12-24,87600,11,sl_only,2,-14454,1,2024-12-26,stop_loss,86286
066570,LG전자,2025-02-07,80000,12,sl_only,3,-14400,1,2025-02-10,stop_loss,78800
066570,LG전자,2025-04-16,69900,14,tp_only,9,+25835,2,2025-04-25,tp1,71997
066570,LG전자,2025-05-21,70500,14,sl_only,6,-14805,1,2025-05-27,stop_loss,69442
066570,LG전자,2025-05-29,71800,13,sl_only,4,-14001,1,2025-06-02,stop_loss,70723
066570,LG전자,2025-08-11,77000,12,sl_only,8,-13860,1,2025-08-19,stop_loss,75845
066570,LG전자,2025-08-21,76900,13,sl_only,1,-14996,1,2025-08-22,stop_loss,75746
066570,LG전자,2025-09-04,74100,13,tp_only,7,+48358,3,2025-09-11,tp1,76323
066570,LG전자,2025-11-19,88500,11,sl_only,2,-14602,1,2025-11-21,stop_loss,87172
066570,LG전자,2026-01-05,92500,10,tp_then_sl,1,-139,2,2026-01-06,tp1,95275
066570,LG전자,2026-01-09,92000,10,sl_only,3,-13800,1,2026-01-12,stop_loss,90620
090710,휴림로봇,2024-03-22,3300,303,tp_only,3,+50195,3,2024-03-25,tp1,3399
090710,휴림로봇,2024-03-27,3300,303,sl_only,1,-14998,1,2024-03-28,stop_loss,3250
090710,휴림로봇,2024-04-01,3070,325,sl_only,1,-14966,1,2024-04-02,stop_loss,3024
090710,휴림로봇,2024-07-03,2395,417,sl_only,1,-14981,1,2024-07-04,stop_loss,2359
090710,휴림로봇,2024-07-15,2615,382,sl_only,1,-14984,1,2024-07-16,stop_loss,2576
090710,휴림로봇,2024-09-25,1390,719,sl_only,7,-14991,1,2024-10-02,stop_loss,1369
090710,휴림로봇,2024-10-08,1359,735,sl_only,2,-14983,1,2024-10-10,stop_loss,1339
090710,휴림로봇,2024-10-14,1345,743,tp_only,1,+50167,3,2024-10-15,tp1,1385
