symbol,name,entry_date,entry_price,qty,primary_outcome,hold_days,gross_pnl,n_exits,first_exit_date,first_exit_reason,first_exit_price
319400,현대무벡스,2025-06-20,4750,210,tp_only,3,+50074,3,2025-06-23,tp1,4892
319400,현대무벡스,2025-09-25,8780,113,sl_only,1,-14882,1,2025-09-26,stop_loss,8648
319400,현대무벡스,2025-10-01,9290,107,sl_only,1,-14910,1,2025-10-02,stop_loss,9151
319400,현대무벡스,2025-12-01,9550,104,tp_only,1,+49859,3,2025-12-02,tp1,9836
319400,현대무벡스,2025-12-26,19120,52,tp_only,3,+49911,3,2025-12-29,tp1,19694
319400,현대무벡스,2026-03-06,32000,31,sl_only,3,-14880,1,2026-03-09,stop_loss,31520
319400,현대무벡스,2026-03-16,30150,33,tp_only,1,+49946,3,2026-03-17,tp1,31054
066570,LG전자,2025-10-28,89100,11,sl_only,2,-14702,1,2025-10-30,stop_loss,87764
066570,LG전자,2025-11-11,90300,11,tp_only,1,+26223,2,2025-11-12,tp1,93009
066570,LG전자,2026-01-06,94000,10,sl_only,1,-14100,1,2026-01-07,stop_loss,92590
066570,LG전자,2026-02-20,120300,8,tp_only,3,+48312,3,2026-02-23,tp1,123909
090710,휴림로봇,2024-03-22,3300,303,tp_only,3,+50195,3,2024-03-25,tp1,3399
090710,휴림로봇,2024-05-09,3100,322,tp_only,1,+50110,3,2024-05-10,tp1,3193
090710,휴림로봇,2024-05-21,3055,327,sl_only,1,-14985,1,2024-05-22,stop_loss,3009
090710,휴림로봇,2024-06-07,3240,308,sl_only,3,-14969,1,2024-06-10,stop_loss,3191
090710,휴림로봇,2024-10-30,1235,809,tp_then_sl,1,+21281,3,2024-10-31,tp1,1272
090710,휴림로봇,2024-11-08,1264,791,sl_only,3,-14997,1,2024-11-11,stop_loss,1245
090710,휴림로봇,2024-11-26,1628,614,tp_then_sl,1,-150,2,2024-11-27,tp1,1677
090710,휴림로봇,2025-01-03,1757,569,sl_only,3,-14996,1,2025-01-06,stop_loss,1731
090710,휴림로봇,2025-02-19,2845,351,tp_then_sl,1,-150,2,2025-02-20,tp1,2930
090710,휴림로봇,2025-02-24,2730,366,sl_only,1,-14988,1,2025-02-25,stop_loss,2689
090710,휴림로봇,2025-03-12,2265,441,sl_only,1,-14983,1,2025-03-13,stop_loss,2231
090710,휴림로봇,2025-03-17,2230,448,sl_only,1,-14986,1,2025-03-18,stop_loss,2197
090710,휴림로봇,2025-06-24,2575,388,tp_then_sl,1,+21281,3,2025-06-25,tp1,2652
090710,휴림로봇,2025-09-19,3530,283,tp_only,3,+9890,1,2025-09-22,tp1,3636
090710,휴림로봇,2025-10-20,4745,210,tp_only,1,+50022,3,2025-10-21,tp1,4887
090710,휴림로봇,2025-12-16,6290,158,sl_only,1,-14907,1,2025-12-17,stop_loss,6196
090710,휴림로봇,2025-12-24,6350,157,tp_only,2,+50047,3,2025-12-26,tp1,6540
090710,휴림로봇,2026-01-05,8340,119,tp_then_sl,1,-149,2,2026-01-06,tp1,8590
090710,휴림로봇,2026-01-19,14200,70,tp_only,1,+49899,3,2026-01-20,tp1,14626
090710,휴림로봇,2026-01-27,14990,66,tp_only,1,+49665,3,2026-01-28,tp1,15440
090710,휴림로봇,2026-02-11,14760,67,sl_only,1,-14834,1,2026-02-12,stop_loss,14539
090710,휴림로봇,2026-02-24,14710,67,tp_only,1,+49476,3,2026-02-25,tp1,15151
090710,휴림로봇,2026-03-18,13800,72,tp_only,1,+49879,3,2026-03-19,tp1,14214
090710,휴림로봇,2026-04-30,13510,74,sl_only,4,-14996,1,2026-05-04,stop_loss,13307
090710,휴림로봇,2026-05-11,12840,77,tp_only,1,+49632,3,2026-05-12,tp1,13225
010170,대한광통신,2024-05-09,1067,937,tp_only,1,+26394,2,2024-05-10,tp1,1099
010170,대한광통신,2024-05-21,1076,929,sl_only,1,-14994,1,2024-05-22,stop_loss,1060
010170,대한광통신,2024-05-27,1114,897,sl_only,1,-14989,1,2024-05-28,stop_loss,1097
010170,대한광통신,2025-02-10,936,1068,sl_only,1,-14995,1,2025-02-11,stop_loss,922
010170,대한광통신,2025-04-24,591,1692,sl_only,1,-15000,1,2025-04-25,stop_loss,582
010170,대한광통신,2025-05-13,594,1683,tp_then_sl,1,-150,2,2025-05-14,tp1,612
010170,대한광통신,2025-05-21,598,1672,sl_only,1,-14998,1,2025-05-22,stop_loss,589
010170,대한광통신,2025-07-16,991,1009,sl_only,1,-14999,1,2025-07-17,stop_loss,976
010170,대한광통신,2025-08-06,1096,912,sl_only,1,-14993,1,2025-08-07,stop_loss,1080
010170,대한광통신,2025-09-05,1255,796,sl_only,3,-14985,1,2025-09-08,stop_loss,1236
010170,대한광통신,2025-12-10,2022,494,tp_only,1,+50143,3,2025-12-11,tp1,2083
010170,대한광통신,2026-01-09,3010,332,tp_only,3,+50166,3,2026-01-12,tp1,3100
010170,대한광통신,2026-02-12,3450,289,tp_only,1,+50052,3,2026-02-13,tp1,3554
010170,대한광통신,2026-02-23,4140,241,tp_only,1,+50087,3,2026-02-24,tp1,4264
010170,대한광통신,2026-04-14,21650,46,sl_only,1,-14938,1,2026-04-15,stop_loss,21325
003280,흥아해운,2025-03-25,1711,584,sl_only,1,-14988,1,2025-03-26,stop_loss,1685
003280,흥아해운,2025-06-18,2385,419,sl_only,1,-14990,1,2025-06-19,stop_loss,2349
003280,흥아해운,2026-03-06,2980,335,sl_only,3,-14974,1,2026-03-09,stop_loss,2935
003280,흥아해운,2026-03-24,3100,322,tp_only,1,+50110,3,2026-03-25,tp1,3193
003280,흥아해운,2026-04-02,3720,268,tp_only,1,+50047,3,2026-04-03,tp1,3832
003280,흥아해운,2026-04-21,3320,301,sl_only,1,-14990,1,2026-04-22,stop_loss,3270
012200,계양전기,2025-01-10,1668,599,sl_only,5,-14987,1,2025-01-15,stop_loss,1643
012200,계양전기,2025-01-17,1698,588,sl_only,3,-14976,1,2025-01-20,stop_loss,1673
012200,계양전기,2026-03-03,8930,111,sl_only,1,-14868,1,2026-03-04,stop_loss,8796
356680,엑스게이트,2024-08-27,4610,216,tp_then_sl,1,+21210,3,2024-08-28,tp1,4748
356680,엑스게이트,2024-09-02,4840,206,sl_only,1,-14956,1,2024-09-03,stop_loss,4767
356680,엑스게이트,2024-09-06,4910,203,sl_only,3,-14951,1,2024-09-09,stop_loss,4836
356680,엑스게이트,2024-09-27,4605,217,sl_only,3,-14989,1,2024-09-30,stop_loss,4536
356680,엑스게이트,2024-11-26,5490,182,sl_only,1,-14988,1,2024-11-27,stop_loss,5408
356680,엑스게이트,2025-01-02,10390,96,tp_only,1,+50071,3,2025-01-03,tp1,10702
356680,엑스게이트,2025-02-10,9730,102,tp_only,1,+49821,3,2025-02-11,tp1,10022
356680,엑스게이트,2025-10-30,9620,103,sl_only,1,-14863,1,2025-10-31,stop_loss,9476
012860,모베이스전자,2026-01-08,1510,662,tp_only,1,+50181,3,2026-01-09,tp1,1555
012860,모베이스전자,2026-04-02,3855,259,sl_only,1,-14977,1,2026-04-03,stop_loss,3797
012860,모베이스전자,2026-04-17,4050,246,sl_only,3,-14944,1,2026-04-20,stop_loss,3989
012860,모베이스전자,2026-04-28,4015,249,sl_only,1,-14996,1,2026-04-29,stop_loss,3955
