theme_id,theme_name,similar_order,similar_theme_id,similar_theme_name,type_keyword,similarity_stock,count_stock_similarity,count_stock_target,similarity_pct_shown
153735,D램,1,153117,3D 낸드,30,50,5,19,263.16
153735,D램,2,154441,반도체 재료/부품,30,50,5,92,54.35
153735,D램,3,155287,반도체 장비,30,40,4,110,36.36
153735,D램,4,150313,비메모리 반도체,30,30,3,57,52.63
162078,DDR5,1,150847,반도체 후공정,30,53.33,8,39,136.74
162078,DDR5,2,167177,반도체 CXL,30,46.67,7,15,311.13
162078,DDR5,3,154441,반도체 재료/부품,30,33.33,5,92,36.23
162078,DDR5,4,150313,비메모리 반도체,30,33.33,5,57,58.47
153117,3D 낸드,1,150848,반도체 전공정,30,63.16,12,44,143.55
153117,3D 낸드,2,155287,반도체 장비,30,52.63,10,110,47.85
153117,3D 낸드,3,154441,반도체 재료/부품,30,42.11,8,92,45.77
153117,3D 낸드,4,154446,LCD,30,31.58,6,89,35.48
3363,방산,1,4441,우주항공,30,23.75,19,50,47.5
3363,방산,2,3349,드론,30,16.25,13,44,36.93
3363,방산,3,163200,UAM(도심형항공모빌리티),30,15,12,40,37.5
3363,방산,4,154131,통신장비,30,13.75,11,54,25.46
150313,비메모리 반도체,1,3412,자율주행,30,31.58,18,114,27.7
150313,비메모리 반도체,2,150846,반도체설계,30,28.07,16,27,103.96
150313,비메모리 반도체,3,150847,반도체 후공정,30,22.81,13,39,58.49
150313,비메모리 반도체,4,165004,AI반도체,30,21.05,12,29,72.59
155428,거푸집(데크플레이트),1,163258,재건축,30,75,6,96,78.12
155428,거푸집(데크플레이트),2,163409,우크라이나 재건,30,62.5,5,82,76.22
155428,거푸집(데크플레이트),3,163571,네옴시티,30,37.5,3,73,51.37
155428,거푸집(데크플레이트),4,163587,우크라이나 재건 - 모듈러주택,30,37.5,3,12,312.5
154420,영상 콘텐츠,1,150841,엔터테인먼트,30,78.05,32,58,134.57
154420,영상 콘텐츠,2,160539,메타버스,30,31.71,13,127,24.97
154420,영상 콘텐츠,3,166479,메타버스 - 콘텐츠,30,29.27,12,70,41.81
154420,영상 콘텐츠,4,150843,영화,30,26.83,11,16,167.69
161672,조선/LNG선,1,4433,LNG(액화천연가스),30,44,11,26,169.23
161672,조선/LNG선,2,155457,조선기자재,30,40,10,47,85.11
161672,조선/LNG선,3,152114,풍력,30,24,6,45,53.33
161672,조선/LNG선,4,150781,원자력,30,16,4,74,21.62
155287,반도체 장비,1,154446,LCD,30,24.55,27,89,27.58
155287,반도체 장비,2,155285,LCD 장비,30,22.73,25,43,52.86
155287,반도체 장비,3,150848,반도체 전공정,30,21.82,24,44,49.59
155287,반도체 장비,4,155425,OLED 장비,30,20.91,23,45,46.47
150841,엔터테인먼트,1,154420,영상 콘텐츠,30,55.17,32,41,134.56
150841,엔터테인먼트,2,166479,메타버스 - 콘텐츠,30,25.86,15,70,36.94
150841,엔터테인먼트,3,160936,NFT(대체불가능토큰),30,25.86,15,63,41.05
150841,엔터테인먼트,4,160539,메타버스,30,25.86,15,127,20.36
155439,스마트폰 SLP(차세대 메인보드),1,4430,PCB/FPCB(회로기판),30,80,4,35,228.57
155439,스마트폰 SLP(차세대 메인보드),2,154241,갤럭시,30,60,3,50,120.0
155439,스마트폰 SLP(차세대 메인보드),3,162078,DDR5,30,40,2,15,266.67
155439,스마트폰 SLP(차세대 메인보드),4,167177,반도체 CXL,30,40,2,15,266.67
3344,시멘트/레미콘,1,163258,재건축,30,100,15,96,104.17
3344,시멘트/레미콘,2,3343,도로,30,20,3,14,142.86
3344,시멘트/레미콘,3,5411,대북/남북경협,30,20,3,86,23.26
3344,시멘트/레미콘,4,163600,대구경북신공항,30,20,3,15,133.33
150847,반도체 후공정,1,155287,반도체 장비,30,48.72,19,110,44.29
150847,반도체 후공정,2,154441,반도체 재료/부품,30,35.9,14,92,39.02
150847,반도체 후공정,3,150313,비메모리 반도체,30,33.33,13,57,58.47
150847,반도체 후공정,4,162078,DDR5,30,20.51,8,15,136.73
3312,2차전지,1,155423,2차전지 - 소재/부품,30,58.13,93,148,39.28
3312,2차전지,2,155421,2차전지 - 장비,30,21.88,35,61,35.87
3312,2차전지,3,155450,전기차 부품,30,20,32,127,15.75
3312,2차전지,4,162288,2차전지 - 전고체배터리,30,16.88,27,42,40.19
3407,로봇,1,166472,로봇 - 산업,30,24.03,37,37,64.95
3407,로봇,2,3412,자율주행,30,22.73,35,114,19.94
3407,로봇,3,154286,자동차 부품,30,17.53,27,179,9.79
3407,로봇,4,162887,AI(인공지능),30,16.88,26,152,11.11
159955,수소연료전지,1,3378,수소차,30,69.09,38,77,89.73
159955,수소연료전지,2,154286,자동차 부품,30,27.27,15,179,15.23
159955,수소연료전지,3,155450,전기차 부품,30,23.64,13,127,18.61
159955,수소연료전지,4,3312,2차전지,30,20,11,160,12.5
4441,우주항공,1,3363,방산,30,38,19,80,47.5
4441,우주항공,2,3349,드론,30,22,11,44,50.0
4441,우주항공,3,163552,누리호,30,20,10,17,117.65
4441,우주항공,4,163200,UAM(도심형항공모빌리티),30,18,9,40,45.0
154286,자동차 부품,1,155450,전기차 부품,30,33.52,60,127,26.39
154286,자동차 부품,2,3378,수소차,30,19.55,35,77,25.39
154286,자동차 부품,3,3407,로봇,30,15.08,27,154,9.79
154286,자동차 부품,4,3412,자율주행,30,13.97,25,114,12.25
165004,AI반도체,1,150313,비메모리 반도체,30,41.38,12,57,72.6
165004,AI반도체,2,155287,반도체 장비,30,31.03,9,110,28.21
165004,AI반도체,3,150846,반도체설계,30,20.69,6,27,76.63
165004,AI반도체,4,4430,PCB/FPCB(회로기판),30,17.24,5,35,49.26
150781,원자력,1,161508,SMR(소형모듈원자로),30,22.97,17,23,99.87
150781,원자력,2,163268,원전해체,30,22.97,17,18,127.61
150781,원자력,3,154257,전력설비,30,20.27,15,45,45.04
150781,원자력,4,163571,네옴시티,30,16.22,12,73,22.22
154232,지주사,1,161459,골프,30,8.21,11,47,17.47
154232,지주사,2,163258,재건축,30,7.46,10,96,7.77
154232,지주사,3,166444,골프 - 골프장,30,6.72,9,30,22.4
154232,지주사,4,158121,태양광,30,5.97,8,69,8.65
165277,의료AI,1,154401,의료기기,30,38.1,16,136,28.01
165277,의료AI,2,150775,제약/바이오,30,30.95,13,216,14.33
165277,의료AI,3,153728,헬스케어,30,26.19,11,43,60.91
165277,의료AI,4,3396,유전자치료,30,21.43,9,47,45.6
162887,AI(인공지능),1,160539,메타버스,30,24.34,37,127,19.17
162887,AI(인공지능),2,3407,로봇,30,17.11,26,154,11.11
162887,AI(인공지능),3,164670,챗 GPT,30,15.13,23,31,48.81
162887,AI(인공지능),4,150779,정보 보안,30,13.82,21,67,20.63
3378,수소차,1,159955,수소연료전지,30,49.35,38,55,89.73
3378,수소차,2,154286,자동차 부품,30,45.45,35,179,25.39
3378,수소차,3,155450,전기차 부품,30,41.56,32,127,32.72
3378,수소차,4,155423,2차전지 - 소재/부품,30,14.29,11,148,9.66
165042,반도체 HBM,1,155287,반도체 장비,30,52.94,9,110,48.13
165042,반도체 HBM,2,150847,반도체 후공정,30,29.41,5,39,75.41
165042,반도체 HBM,3,150848,반도체 전공정,30,23.53,4,44,53.48
165042,반도체 HBM,4,165004,AI반도체,30,23.53,4,29,81.14
155286,LED 장비,1,155287,반도체 장비,30,100,13,110,90.91
155286,LED 장비,2,4435,OLED(유기발광다이오드),30,46.15,6,81,56.98
155286,LED 장비,3,155425,OLED 장비,30,38.46,5,45,85.47
155286,LED 장비,4,154446,LCD,30,38.46,5,89,43.21
166306,초전도체,1,155423,2차전지 - 소재/부품,30,22.5,9,148,15.2
166306,초전도체,2,160539,메타버스,30,15,6,127,11.81
166306,초전도체,3,154446,LCD,30,15,6,89,16.85
166306,초전도체,4,3312,2차전지,30,15,6,160,9.38
167410,SOFC(고체산화물연료전지),1,159955,수소연료전지,30,90,9,55,163.64
167410,SOFC(고체산화물연료전지),2,3378,수소차,30,60,6,77,77.92
167410,SOFC(고체산화물연료전지),3,3417,ESS(전력저장장치),30,30,3,55,54.55
167410,SOFC(고체산화물연료전지),4,154441,반도체 재료/부품,30,20,2,92,21.74
154257,전력설비,1,154850,전선,30,35.56,16,22,161.64
154257,전력설비,2,150781,원자력,30,33.33,15,74,45.04
154257,전력설비,3,3345,송전,30,31.11,14,17,183.0
154257,전력설비,4,5411,대북/남북경협,30,26.67,12,86,31.01
150775,제약/바이오,1,154147,코로나 치료제,30,36.57,79,141,25.94
150775,제약/바이오,2,163269,항암제,30,30.56,66,92,33.22
150775,제약/바이오,3,3556,치매,30,18.98,41,67,28.33
150775,제약/바이오,4,165562,비만치료제,30,15.74,34,49,32.12
